itemName,itemDescrip,itemFile,descriptiveName
collection_id,collection_id,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
akts01_id,akts01_id,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
dataset_id,dataset_id,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
src_subject_id,Subject ID how it's defined in lab/project,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
interview_age,Age in months at the time of the interview/test/sampling/imaging.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
sex,Sex of subject at birth,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak001,"I'm a sad, unhappy person.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak002,People tell me I am unable to see the lighter side of things.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak003,I have suffered a lot in life.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak004,I think things often turn out for the worst.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
basc_s65,I give up easily,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak006,"For as long as I can remember, I've felt like a failure.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak007,I have always blamed myself for what others might consider no big deal.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak008,I don't seem to have as much energy as other people.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak009,I'm the kind of person who doesn't like change very much.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak010,"In a group, I would rather hear others talk.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak011,I often give into others.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak012,I feel very uneasy meeting new people.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak013,My feelings are easily hurt by criticism or rejection.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak014,I am the kind of person you can always depend on.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak015,I put the needs of others above my own.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
tci62,I am more hard-working than most people,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak017,I would rather work for someone else then be the boss.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak018,It is natural for me to be neat and organized.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak019,I'm the kind of person who doubts everything.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak020,My sex drive has always been low.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak021,I normally need more than 9 hours of sleep.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak022,I often feel tired for no reason.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak023,I get sudden shifts in mood and energy.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak024,"My moods and energy are either high or low, rarely in between.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak025,My ability to think varies greatly from sharp to dull for no apparent reason.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak026,"I can really like someone a lot, and then completely lose interest in them.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak027,I often blow up at people and then feel guilty about it.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak028,I often start things and then lose interest before finishing them.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak029,My mood often changes for no reason.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak030,I consistently switch between being lively and sluggish.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak031,"I sometimes go to bed feeling down, but wake up in the morning feeling terrific.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak032,"I sometimes go to bed feeling great, and wake up in the morning feeling life is not worth living.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak033,"I am told that I often get pessimistic about things, and forget previous happy times.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak034,I go back and forth between feeling overconfident and feeling unsure of myself.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak035,I go back and forth between being outgoing and being withdrawn from others.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak036,I feel all emotions intensely.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak037,My need for sleep varies a lot from just a few hours to more than 9 hours.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak038,"The way I see things is sometimes vivid, but at other times lifeless.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak039,I am the kind of person who can be sad and happy at the same time.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
